year,deposits,credit,gross_advances,gnpa_amount,nnpa_amount,gnpa_pct,nnpa_pct,credit_growth,deposit_growth,cd_ratio
1996-97,505599,278401,603396.0,94600.0,44680.0,15.677929585214354,7.404755749126609,,,0.5506359783148306
1997-98,598485,324079,705392.0,101630.0,47522.0,14.407591807108671,6.736963277156531,16.407268652052267,18.371476209407067,0.5414989515192528
1998-99,714025,368837,798872.0,117444.0,56040.0,14.701228732512844,7.01489099630479,13.810830075382864,19.305412834072698,0.516560344525752
1999-00,813345,435958,950226.0,120816.0,60146.0,12.714448983715451,6.329652103815303,18.198011587774545,13.909877105143376,0.5360062458120478
2000-01,962618,511434,1117532.0,127398.0,64868.0,11.399942015083235,5.804576513245259,17.312676909243542,18.352974445038694,0.5312948646295831
2001-02,1103360,589723,1364215.0,141270.0,70870.0,10.355405856115055,5.19492895181478,15.307742543514902,14.620752988205087,0.5344792270881671
2002-03,1280853,729215,1561256.0,137435.0,62354.0,8.802848475842527,3.9938357322565934,23.653817131093756,16.086590052204187,0.5693198204633944
2003-04,1504416,840785,1804052.0,128153.0,49521.0,7.103620073035589,2.744987395041828,15.300014399045558,17.45422776852612,0.5588779965116032
2004-05,1700198,1100428,2337693.0,118490.0,43382.0,5.068672404802513,1.8557612141542963,30.881021902150962,13.013820645353412,0.6472352043703146
2005-06,2109049,1507077,3094049.0,101616.0,36813.0,3.284240165556525,1.1898001615359033,36.95371255547841,24.047258025241767,0.7145765698189089
2006-07,2611933,1931189,4016730.0,100814.0,40500.0,2.509852541744155,1.008282856950803,28.14136238559808,23.844111729978778,0.7393715688725553
2007-08,3196939,2361914,5009008.0,112617.0,49460.0,2.248289481669824,0.9874210622143148,22.303617098067562,22.39743515626167,0.7388048380028521
2008-09,3834110,2775549,6075171.0,136656.0,63127.0,2.249418164525739,1.0390983233229156,17.51270368015092,19.930658670684686,0.7239095904916656
2009-10,4492826,3244788,7090000.0,169397.0,77446.0,2.3892383638928067,1.092327221438646,16.906168833625344,17.180414750750494,0.722215371794946
2010-11,5207969,3942083,8715096.0,195806.0,83466.0,2.2467451878900704,0.9577175053493387,21.489693625592786,15.917442607392317,0.7569328849691693
2011-12,5909082,4611852,10317755.0,285739.0,130308.0,2.769391209618759,1.262949158998251,16.990230799300775,13.462311315601138,0.7804684382447222
2012-13,6750454,5260459,11976555.0,388046.0,197293.0,3.2400469083137846,1.647326798065053,14.063916188117043,14.238624544387779,0.7792748458103707
2013-14,7705560,5994096,13751496.0,526733.0,284837.0,3.83036871042976,2.071316458951084,13.946254499844969,14.148766882938535,0.777892327098874
2014-15,8533285,6536420,15119520.0,646670.0,351682.0,4.277053768902716,2.326012995121538,9.047636207361375,10.741918822253016,0.7659910573712234
2015-16,9327290,7249615,16346243.0,1223894.0,699629.0,7.487310692738386,4.280059950167142,10.91109506427066,9.304798796711932,0.7772477321923088
2016-17,10757656,7841466,16977957.0,1583361.0,866127.0,9.32598074079231,5.101479524303189,8.163895599973237,15.335279593536821,0.7289195713266905
2017-18,11426049,8625425,18497104.0,2078464.0,1041239.0,11.236699539560355,5.629200116948037,9.997607590213352,6.213184359120616,0.7548913014463705
2018-19,12573772,9771722,20588927.0,1872948.0,710136.0,9.096870371146586,3.449116119553001,13.289745142992949,10.044793261432705,0.7771512001331025
2019-20,13567492,10370861,21837836.0,1799605.0,578741.0,8.240766163826855,2.650175594321708,6.131355353744206,7.9031176961058325,0.7643904267642097
2020-21,15113512,10949509,22799217.0,1670277.0,516100.0,7.326027907011016,2.2636742305667776,5.579556027218957,11.395031594638127,0.7244847524519781
2021-22,16465313,11891314,25500012.0,1487280.0,408462.0,5.832467843544544,1.6018110109124657,8.601344589972015,8.94432081702783,0.7222039447412874
2022-23,18043914,13675235,29513274.0,1143091.0,270640.0,3.873141963172232,0.917011104901476,15.001882886954299,9.587433898159126,0.7578862878641519
2023-24,20475226,16432164,35017180.0,961636.0,213465.0,2.7461834448119467,0.6096007731062295,20.160011875481487,13.474415805794692,0.8025388340035905
